REGION,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total,"14,420","17,800","11,610","15,800","24,490","26,880","16,100","9,130","13,170","22,300"
Africa,"4,220","3,800","2,140","2,910","4,500","5,200","3,300","1,980","2,580","1,520"
Asia,"7,410","6,570","4,360","5,710","7,870","9,230","6,330","3,270","5,320","18,270"
Europe,560,730,470,660,"1,560","1,880","1,080",600,830,540
North America,"1,590","5,750","4,100","5,800","4,280","3,820","1,790","1,560","1,610",860
Oceania,20,0,10,10,0,0,0,0,0,0
South America,590,900,510,670,"6,210","6,660","3,540","1,680","2,750","1,050"
Unknown,40,50,30,40,70,100,60,50,80,60
COUNTRY,,,,,,,,,,
Total,"14,420","17,800","11,610","15,800","24,490","26,880","16,100","9,130","13,170","22,300"
Afghanistan,100,160,80,90,80,80,40,100,"1,180","14,330"
Albania,30,30,10,20,50,50,10,20,20,10
Algeria,10,10,0,10,20,30,10,20,0,0
Angola,10,30,10,20,40,30,20,10,10,20
Armenia,90,50,10,30,110,130,60,20,90,40
Azerbaijan,20,20,10,20,70,90,70,20,50,40
Bangladesh,140,130,40,110,140,60,40,20,50,30
Belarus,50,70,20,30,130,170,70,60,70,30
Bosnia and Herzegovina,0,10,0,0,10,10,10,0,10,0
Brazil,20,30,20,30,110,190,120,60,50,20
Bulgaria,20,10,0,10,10,10,10,0,10,0
Burkina Faso,60,40,30,60,110,70,40,30,70,80
Burma,40,40,10,30,70,130,90,80,140,50
Burundi,70,80,50,30,40,40,30,10,20,10
Cambodia,10,0,0,0,10,10,0,10,0,0
Cameroon,110,110,50,100,200,240,140,120,150,90
Central African Republic,10,20,0,10,20,20,10,0,10,10
Chad,10,10,10,10,30,10,10,10,10,0
"China, People's Republic","3,890","2,590","1,410","2,820","3,760","3,950","2,800","1,080","1,480","1,360"
Colombia,230,250,70,70,310,280,270,140,440,170
"Congo, Democratic Republic",40,70,40,60,80,80,50,30,40,30
"Congo, Republic",50,70,30,70,100,80,50,30,20,10
Cote d'Ivoire,20,40,20,40,50,30,20,20,20,10
Cuba,10,10,0,0,0,10,10,20,100,30
Djibouti,10,50,40,20,20,30,30,20,30,30
Dominican Republic,0,10,0,0,10,20,10,0,0,0
Ecuador,20,140,80,70,60,40,20,20,40,20
Egypt,"2,580","1,510",680,"1,000","1,380","2,100","1,300",590,660,470
El Salvador,180,"1,850","1,380","2,110","1,130",860,250,260,290,130
Eritrea,150,240,260,350,330,250,170,60,90,50
Ethiopia,500,620,300,290,390,300,200,250,560,280
Fiji,20,0,10,10,0,0,0,0,0,0
Gabon,10,0,0,0,10,10,10,0,0,10
Gambia,50,90,60,90,70,50,30,20,30,20
Georgia,20,20,30,30,50,50,30,20,10,10
Ghana,10,10,10,10,10,10,10,0,10,0
