Year,Number of Immigrants,Immigrants as a Percentage of the U.S. Population
1850,"2,244,600",9.70%
1860,"4,138,700",13.20%
1870,"5,567,200",14.40%
1880,"6,679,900",13.30%
1890,"9,249,500",14.80%
1900,"10,341,300",13.60%
1910,"13,515,900",14.70%
1920,"13,920,700",13.20%
1930,"14,204,100",11.60%
1940,"11,594,900",8.80%
1950,"10,347,400",6.90%
1960,"9,738,100",5.40%
1970,"9,619,300",4.70%
1980,"14,079,900",6.20%
1990,"19,767,300",7.90%
2000,"31,107,900",11.10%
2010,"39,955,900",12.90%
2011,"40,377,900",13.00%
2012,"40,824,700",13.00%
2013,"41,348,100",13.10%
2014,"42,391,800",13.30%
2015,"43,290,400",13.50%
2016,"43,739,300",13.50%
2017,"44,525,900",13.70%
2018,"44,728,700",13.70%
2019,"44,932,900",13.70%
2021,"45,270,100",13.60%
2022,"46,182,200",13.90%
2023,"47,831,400",14.30%
