Year,North America,Africa,Europe,Asia,South America,Other
2006,356896,118677,437843,873815,153593,31247
2007,385082,124766,437417,977135,155739,31636
2008,415525,124948,426308,1005233,163398,31698
2009,352513,128161,372695,947929,148764,29090
2010,352285,136139,392482,1035851,138452,31784
2011,359456,129825,393277,1115896,147284,32729
2012,382417,142690,392908,1145521,148976,33323
2013,392845,143993,396417,1223463,149870,37636
2014,419826,155423,402908,1346193,163450,38003
2015,487406,155553,409104,1429055,156686,39224
2016,570070,180005,416898,1347199,152842,43124
2017,584450,169759,401650,1235807,154598,41180
2018,610222,152313,385286,1137732,166481,41444
2019,588785,162835,391797,1141775,168195,42690
2020,412554,82700,157922,541691,82893,21022
2021,536760,94181,184793,615902,88907,15672
2022,743845,158006,348420,1097200,189370,32511
