Visa Category             ,Issued,Refused,Total  Workload,Waived / Overcome
A1,"10,574","2,501","13,075","2,286"
A2,"95,994","20,956","116,950","18,728"
A3,"1,135",780,"1,915",581
B1,"41,956","14,113","56,069","7,934"
B1/B2,"5,645,580","1,484,912","7,130,492","377,224"
B2,"114,526","107,226","221,752","26,572"
BBBCC,"1,221,051","254,296","1,475,347","63,219"
BBBCV,"62,896","10,287","73,183","5,523"
C1,"12,707","2,894","15,601",793
C1/D,"258,935","23,439","282,374","17,318"
C2,4,9,13,0
C3,"9,724",363,"10,087",261
CW1,"1,943","1,244","3,187","1,184"
CW2,612,416,"1,028",385
D,"6,676","1,179","7,855",865
E1,"7,283","1,534","8,817","1,184"
E2,"35,272","8,178","43,450","5,425"
E2C,184,133,317,128
E3,"3,946",453,"4,399",377
E3D,"2,530",272,"2,802",255
E3R,926,58,984,56
F1,"534,320","160,168","694,488","66,995"
F2,"29,139","11,311","40,450","6,148"
F3,678,45,723,38
G1,"5,081","1,564","6,645","1,520"
G2,"12,954","2,401","15,355","1,830"
G3,251,62,313,55
G4,"25,230","2,797","28,027","2,528"
G5,736,281,"1,017",205
H1B,"153,223","23,141","176,364","21,276"
H1B1,571,89,660,37
H1C,0,0,0,0
H2A,"74,192","9,051","83,243","2,818"
H2B,"57,600","9,981","67,581","4,317"
H3,"2,712",646,"3,358",456
H4,"96,753","11,409","108,162","10,495"
I,"14,298","1,857","16,155","1,240"
J1,"312,522","53,753","366,275","32,786"
J2,"39,874","7,779","47,653","6,965"
K1,"26,321","10,570**","36,891","6,339**"
K2,"3,787",47,"3,834",30
K3,144,25,169,10
K4,38,7,45,1
L1,"66,700","15,890","82,590","7,700"
L2,"74,104","10,710","84,814","7,271"
M1,"11,320","3,584","14,904","1,891"
M2,498,176,674,93
M3,1,0,1,0
N8,15,13,28,3
N9,3,2,5,0
NATO1,8,1,9,1
NATO2,"5,351",180,"5,531",158
NATO3,0,0,0,0
NATO4,210,6,216,10
NATO5,63,0,63,0
NATO6,519,11,530,12
NATO7,3,1,4,1
O1,"12,359","2,446","14,805","2,204"
O2,"6,623",813,"7,436",695
O3,"3,098",534,"3,632",484
P1,"23,269","4,212","27,481","3,068"
P2,125,13,138,10
P3,"7,590","3,647","11,237","1,806"
P4,"1,264",278,"1,542",221
Q1,"1,688",168,"1,856",100
R1,"4,754","1,211","5,965",991
R2,"1,394",506,"1,900",444
S5,1,0,1,0
S6,0,0,0,0
S7,0,10,10,0
T2,171,78,249,55
T3,357,167,524,118
T4,22,9,31,8
T5,31,12,43,9
TD,"6,609",609,"7,218",445
TN,"9,548","1,309","10,857",817
U1,169,245,414,200
U2,116,85,201,70
U3,"1,391",460,"1,851",421
U4,42,35,77,30
U5,55,16,71,17
Grand Totals,"9,164,349","2,289,664","11,454,013","725,740"
